@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute thumb numeric
@attribute index numeric
@attribute middle numeric
@attribute ring numeric
@attribute pinky numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
133,'2020/05/08 16:20:01:949',1,55.94735,83.802307,90.208084,83.137344,68.889992,1,0
134,'2020/05/08 16:20:01:965',1,55.954597,83.81546,90.16143,82.815231,68.90918,1,0
135,'2020/05/08 16:20:01:985',1,56.022976,83.851364,90.056267,82.229782,69.006638,1,0
136,'2020/05/08 16:20:01:997',1,56.032841,83.862083,89.979012,82.133331,69.018669,1,0
137,'2020/05/08 16:20:02:017',1,56.052616,83.882263,89.825455,81.998375,68.990868,1,0
138,'2020/05/08 16:20:02:033',1,56.076782,83.900734,89.712357,81.957146,68.96154,1,0
139,'2020/05/08 16:20:02:049',1,56.253387,83.917717,89.519714,81.992355,68.900124,1,0
140,'2020/05/08 16:20:02:065',1,56.46909,83.933441,89.256973,82.146904,68.861099,1,0
141,'2020/05/08 16:20:02:081',1,56.556465,83.940895,89.174149,82.153717,68.84948,1,0
142,'2020/05/08 16:20:02:097',1,56.7216,83.954903,89.049751,82.18335,68.796631,1,0
143,'2020/05/08 16:20:02:121',1,56.769531,83.968025,88.993637,82.252098,68.732765,1,0
144,'2020/05/08 16:20:02:134',1,56.764339,83.98027,88.972794,82.316719,68.678848,1,0
145,'2020/05/08 16:20:02:153',1,56.736095,83.991745,88.829582,82.409157,68.637901,1,0
146,'2020/05/08 16:20:02:164',1,56.714306,84.002548,88.838585,82.565315,68.608543,1,0
147,'2020/05/08 16:20:02:181',1,56.706463,84.007759,89.064552,82.626808,68.608803,1,0
148,'2020/05/08 16:20:02:197',1,56.710762,84.017601,89.513535,82.888878,68.612595,1,0
149,'2020/05/08 16:20:02:217',1,56.724102,84.026978,89.463524,83.165916,68.622116,1,0
150,'2020/05/08 16:20:02:233',1,56.761066,84.03582,89.456871,83.368851,68.62487,1,0
151,'2020/05/08 16:20:02:249',1,56.783974,84.04422,89.786179,83.557487,68.635735,1,0
152,'2020/05/08 16:20:02:265',1,56.834133,84.052216,90.486893,83.922203,68.658913,1,0
153,'2020/05/08 16:20:02:281',1,56.862488,84.056007,90.810165,84.060715,68.691841,1,0
154,'2020/05/08 16:20:02:297',1,56.928329,84.063477,91.329742,84.231445,68.772758,1,0
155,'2020/05/08 16:20:02:317',1,57.011387,84.070564,91.615234,84.406471,68.843422,1,0
156,'2020/05/08 16:20:02:333',1,57.092369,84.077385,91.795029,84.510475,68.899017,1,0
157,'2020/05/08 16:20:02:349',1,57.164436,84.083824,91.891098,84.582191,68.942627,1,0
158,'2020/05/08 16:20:02:365',1,57.209949,84.090042,91.96431,84.634933,68.964767,1,0
159,'2020/05/08 16:20:02:385',1,57.247143,84.095963,92.002968,84.734543,68.973114,1,0
160,'2020/05/08 16:20:02:397',1,57.245773,84.098824,92.013199,84.758621,68.976624,1,0
161,'2020/05/08 16:20:02:417',1,57.104488,84.10714,92.059288,84.971252,69.045647,1,0
162,'2020/05/08 16:20:02:433',1,57.063393,84.109825,92.0662,85.051125,69.081505,1,0
163,'2020/05/08 16:20:02:449',1,56.966652,84.11499,92.070656,85.262642,69.149857,1,0
164,'2020/05/08 16:20:02:465',1,56.891529,84.12001,92.129799,85.39856,69.223213,1,0
165,'2020/05/08 16:20:02:485',1,56.81295,84.124786,92.357605,85.507004,69.262604,1,0
166,'2020/05/08 16:20:02:501',1,56.772362,84.127136,92.459656,85.607735,69.303391,1,0
167,'2020/05/08 16:20:02:517',1,56.712017,84.130577,92.577202,85.782555,69.441788,1,0
168,'2020/05/08 16:20:02:533',1,56.68811,84.131721,92.617462,85.820488,69.489464,1,0
